0,DESCRIÇÃO PARCEIRO,Sub-categoria,categoria
1,SAL ROSA HIMALAIA C/ ALHO 500G,SAL DO HIMALAIA,SAL
2,JG BOLA NATAL ACASA C/17 DR/PR/BC R952,BOLA DE NATAL,ENFEITES DE NATAL
3,MIST PREP LIQ CHA VDE LINEA 56ML-CX LIMAO,LIMÃO,BOLOS
4,ALICATE CUT+ESPAT MUNDIAL SANDY AMARELO,ALICATE,ACESSÓRIOS MÃO E PÉ
5,MEIA PIZZA PEPPERONI UN,PRESUNTO,PIZZA
6,JARRA ACASA VIDRO CURVES OJG378,CONJUNTO JARRA E COPOS,UTENSÍLIOS DE VIDRO
7,FILME DE PVC CONSERV PACK 30M,FILME PVC,FILME PVC
8,CESTO VIME CRAFTWORK S-25X15XH13,CESTO PARA PREGADORES,ORGANIZADOR
9,MAC BORTOLINI 500GR OVOS ESPAGUETE .,COM OVOS,MASSA SECA
10,COND NOVEX OLEO OJON 300ML,KIT CREME DE TRATAMENTO,KIT CABELOS ADULTOS
